system:index,LST_jour_C,LST_nuit_C,amplitude_C,annee,date,jour,mois,source,zone,.geo
1_1_1_1_1_1_1_1_2_2000_05_08,28.716612021857884,15.880201914708437,12.836410107149447,2000,2000-05-08,8,5,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_05_09,-9999,5.39059273894793,-9999,2000,2000-05-09,9,5,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_05_10,-9999,12.4915069615069,-9999,2000,2000-05-10,10,5,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_05_11,24.60478141135974,15.738867243867162,8.865914167492576,2000,2000-05-11,11,5,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_05_12,28.005123974234493,15.684240208877327,12.320883765357166,2000,2000-05-12,12,5,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_05_13,-9999,16.51335070575459,-9999,2000,2000-05-13,13,5,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_05_14,28.180052060354797,17.183270305987605,10.996781754367191,2000,2000-05-14,14,5,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_05_15,33.835068384364206,17.488458840037424,16.346609544326782,2000,2000-05-15,15,5,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_05_16,23.5950696651185,15.562484477805583,8.032585187312918,2000,2000-05-16,16,5,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_05_17,33.50562053959959,-9999,-9999,2000,2000-05-17,17,5,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_05_18,28.814186676295435,15.267882293337834,13.5463043829576,2000,2000-05-18,18,5,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_05_19,28.912329480278743,15.307462810680931,13.604866669597811,2000,2000-05-19,19,5,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_05_20,27.942790964440007,15.138575591985386,12.804215372454621,2000,2000-05-20,20,5,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_05_21,29.870412352889048,10.810000000000002,19.060412352889045,2000,2000-05-21,21,5,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_05_22,30.260420894732135,16.014558807041112,14.245862087691023,2000,2000-05-22,22,5,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_05_23,25.926134425399027,-9999,-9999,2000,2000-05-23,23,5,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_05_24,33.06690285008381,16.600084557187415,16.46681829289639,2000,2000-05-24,24,5,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_05_25,28.224458660548862,18.524643667725798,9.699814992823065,2000,2000-05-25,25,5,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_05_26,34.977176733780766,18.182506625239853,16.794670108540913,2000,2000-05-26,26,5,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_05_27,22.946425734710147,11.327966101694983,11.618459633015163,2000,2000-05-27,27,5,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_05_28,-9999,16.64452768729649,-9999,2000,2000-05-28,28,5,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_05_29,-9999,17.147038446897625,-9999,2000,2000-05-29,29,5,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_05_30,28.709853077767434,18.35655451713393,10.353298560633505,2000,2000-05-30,30,5,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_05_31,-9999,-9999,-9999,2000,2000-05-31,31,5,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_06_01,-9999,17.512612384907072,-9999,2000,2000-06-01,1,6,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_06_02,35.83699599465956,18.779524733268772,17.057471261390788,2000,2000-06-02,2,6,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_06_03,31.344094058948485,18.577680086658233,12.766413972290252,2000,2000-06-03,3,6,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_06_04,34.80685987815497,20.035332045917812,14.771527832237155,2000,2000-06-04,4,6,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_06_05,34.32705911698679,-9999,-9999,2000,2000-06-05,5,6,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_06_06,-9999,16.500510453146603,-9999,2000,2000-06-06,6,6,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_06_07,33.76117752234995,19.387291129922573,14.37388639242738,2000,2000-06-07,7,6,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_06_08,30.477217909369926,21.03722349510508,9.439994414264845,2000,2000-06-08,8,6,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_06_09,36.291489986648855,20.545625245001986,15.74586474164687,2000,2000-06-09,9,6,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_06_10,-9999,14.605524699599414,-9999,2000,2000-06-10,10,6,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_06_11,-9999,-9999,-9999,2000,2000-06-11,11,6,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_06_12,-9999,-9999,-9999,2000,2000-06-12,12,6,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
